"","rowid","pl_hostname","pl_letter","pl_discmethod","pl_pnum","pl_orbper","pl_orbsmax","pl_orbeccen","pl_orbincl","pl_ttvflag","pl_kepflag","pl_k2flag","ra_str","ra","dec_str","dec","st_dist","st_teff","st_mass","st_rad","rowupdate","pl_name","pl_rvamp","pl_eqt","pl_insol","pl_bmassprov","pl_bmassj","pl_bmasse","pl_dens","pl_radj","pl_rade","pl_rads","pl_def_reflink","pl_disc","pl_disc_reflink","pl_locale","pl_facility","pl_telescope","pl_instrument","st_rah","st_glon","st_glat","st_elon","st_elat","st_plx","st_radv","st_sp","st_spstr","st_age"
"500",500,"HD 221287","b","Radial Velocity",1,456.1,1.25,0.08,NA,0,0,0,"23h31m20.34s",352.834747,"-58d12m35.0s",-58.209732,52.88,6304,1.25,NA,"14/5/14","HD 221287 b",71,NA,NA,"Msini",3.09,982.05,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...470..721N target=ref> Naef et al. 2007 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...470..721N target=ref> Naef et al. 2007 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",23.52231649,321.703012,-55.902883,322.68595,-48.912385,18.91,-21.6,3.7,"F7 V",1.3
"501",501,"HD 221585","b","Radial Velocity",1,1173,2.306,0.123,NA,0,0,0,"23h32m54.05s",353.225189,"+63d09m19.7s",63.155483,53.59,5620,1.19,NA,"16/5/19","HD 221585 b",27.9,NA,NA,"Msini",1.61,511.7063,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160407610D target=ref>Diaz et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160407610D target=ref>Diaz et al. 2016</a>","Ground","Haute-Provence Observatory","1.93 m Telescope","SOPHIE Spectrograph",23.54834595,114.200912,1.622902,34.312732,57.118971,18.66,6.43,4.8,"G8 IV",6.2
"502",502,"HD 222076","b","Radial Velocity",1,871,1.83,0.08,NA,0,0,0,"23h38m07.95s",354.533112,"-70d54m12.1s",-70.903358,83.5,4806,1.07,4.1,"16/12/1","HD 222076 b",31.9,NA,NA,"Msini",1.56,495.8148,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161107648W target=ref>Wittenmyer et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161107648W target=ref>Wittenmyer et al. 2016</a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instuments",23.63554077,311.299082,-45.014998,308.839655,-58.714798,NA,NA,5,"K0 III",NA
"503",503,"HD 222155","b","Radial Velocity",1,3999,5.1,0.16,NA,0,0,0,"23h38m00.31s",354.501282,"+48d59m47.5s",48.996521,50.45,5765,1.13,1.67,"14/5/14","HD 222155 b",24.2,NA,NA,"Msini",1.9,603.85,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...545A..55B target=ref> Boisse et al. 2012 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...545A..55B target=ref> Boisse et al. 2012 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","ELODIE Spectrograph",23.63341878,110.729752,-12.127556,20.371298,45.840589,19.82,-43.99,4.2,"G2 V",8.2
"504",504,"HD 222582","b","Radial Velocity",1,572.38,1.347,0.725,NA,0,0,0,"23h41m51.53s",355.464722,"-05d59m08.7s",-5.985757,41.95,5727,0.99,NA,"14/7/23","HD 222582 b",276.3,NA,NA,"Msini",7.75,2463.1,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",1999,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2000ApJ...536..902V target=ref> Vogt et al. 2000 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",23.69764811,81.758521,-63.151888,353.461579,-3.692074,23.84,11.5,4.5,"G5 V",NA
"505",505,"HD 224538","b","Radial Velocity",1,1189.1,2.28,0.464,NA,0,0,0,"23h58m51.76s",359.715668,"-61d35m12.4s",-61.586773,77.76,6097,1.34,1.54,"16/11/10","HD 224538 b",107,NA,NA,"Msini",5.97,1897.4451,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv160309391J target=ref>Jenkins et al. 2016</a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",23.98104452,313.652786,-54.433508,323.50486,-53.709047,12.86,-11,3.9,"F9 IV/V",2
"506",506,"HD 224693","b","Radial Velocity",1,26.73,0.192,0.05,NA,0,0,0,"23h59m53.83s",359.974304,"-22d25m41.2s",-22.428114,94.07,6037,1.33,1.7,"14/11/19","HD 224693 b",40.2,NA,NA,"Msini",0.71,225.65,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...647..600J target=ref> Johnson et al. 2006 </a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...647..600J target=ref> Johnson et al. 2006 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",23.99828695,52.01893,-77.40125,350.653386,-20.479762,10.63,1.5,4.2,"G2 IV",NA
"507",507,"HD 22781","b","Radial Velocity",1,528.07,1.167,0.8191,NA,0,0,0,"03h40m49.53s",55.206356,"+31d49m34.6s",31.82629,31.79,5027,0.75,NA,"14/5/14","HD 22781 b",NA,NA,NA,"Msini",13.65,4338.2,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...538A.113D target=ref> D&iacute;az et al. 2012 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...538A.113D target=ref> D&iacute;az et al. 2012 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","SOPHIE Spectrograph",3.68042374,160.071964,-18.56709,60.298154,11.904653,31.46,8.25,5.1,"K1",4.8
"508",508,"HD 23079","b","Radial Velocity",1,730.6,1.596,0.102,NA,0,0,0,"03h39m43.09s",54.929562,"-52d54m57.0s",-52.915836,34.6,5927,1.01,NA,"14/7/23","HD 23079 b",54.9,NA,NA,"Msini",2.45,778.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",2001,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2002ApJ...571..528T target=ref> Tinney et al. 2002 </a>","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",3.66197077,264.319295,-49.652393,21.354621,-68.16057,28.9,0.5,3.9,"F8/G0 V",NA
"509",509,"HD 23127","b","Radial Velocity",1,1214,2.4,0.44,NA,0,0,0,"03h39m23.64s",54.848495,"-60d04m40.2s",-60.077843,89.13,NA,1.13,NA,"14/11/19","HD 23127 b",27.5,NA,NA,"Msini",1.5,476.7,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...660.1636O target=ref> O'Toole et al. 2007 </a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...660.1636O target=ref> O'Toole et al. 2007 </a>","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",3.65656637,273.942917,-46.483414,5.853631,-73.219981,11.22,21.9,4.2,"G2 V",7.1
"510",510,"HD 231701","b","Radial Velocity",1,141.6,0.53,0.1,NA,0,0,0,"19h32m04.16s",293.017334,"+16d28m27.4s",16.474291,108.46,6208,1.14,1.35,"14/11/19","HD 231701 b",64,NA,NA,"Msini",1.08,343.24,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1336F target=ref> Fischer et al. 2007 </a>",2007,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...669.1336F target=ref> Fischer et al. 2007 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",19.53448893,52.17502,-1.214977,298.279537,37.680894,9.22,NA,3.8,"F8 V",4.9
"511",511,"HD 233604","b","Radial Velocity",1,192,0.747,0.05,NA,0,0,0,"09h09m48.81s",137.45338,"+53d34m05.6s",53.56823,NA,4791,1.5,10.9,"14/5/14","HD 233604 b",177.8,NA,NA,"Msini",6.575,2089.644,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","Ground","McDonald Observatory","9.2 m Hobby-Eberly Telescope","High Resolution Spectrograph",9.16355867,163.935479,41.831895,122.435729,35.340895,NA,NA,5.5,"K5",2.4
"512",512,"HD 23596","b","Radial Velocity",1,1561,2.772,0.266,NA,0,0,0,"03h48m00.37s",57.001556,"+40d31m50.3s",40.530636,52,5904,1.16,NA,"14/5/14","HD 23596 b",127,NA,NA,"Msini",7.71,2450.37,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJS..182...97W target=ref> Wittenmyer et al. 2009 </a>",2003,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003A&A...410.1039P target=ref> Perrier et al. 2003 </a>","Ground","Haute-Provence Observatory","1.93 m Telescope","ELODIE Spectrograph",3.80010376,155.551708,-10.900346,63.856776,20.039435,NA,-10.2,3.8,"F8 V",NA
"513",513,"HD 240210","b","Radial Velocity",1,501.75,1.16,0.15,NA,0,0,0,"23h10m29.23s",347.621792,"+57d01m46.0s",57.029456,NA,4297,0.82,NA,"14/11/19","HD 240210 b",161.89,NA,NA,"Msini",5.21,1655.82,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>","Ground","McDonald Observatory","9.2 m Hobby-Eberly Telescope","High Resolution Spectrograph",23.17478611,109.493786,-3.184851,23.095896,54.698858,7,NA,5.3,"K3 III",NA
"514",514,"HD 240237","b","Radial Velocity",1,745.7,1.9,0.4,NA,0,0,0,"23h15m42.22s",348.925934,"+58d02m35.7s",58.04324,307.69,4361,1.69,32,"14/11/19","HD 240237 b",91.5,NA,NA,"Msini",5.3,1684.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...745...28G target=ref> Gettel et al. 2012 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2012ApJ...745...28G target=ref> Gettel et al. 2012 </a>","Ground","McDonald Observatory","9.2 m Hobby-Eberly Telescope","High Resolution Spectrograph",23.26172892,110.521002,-2.502874,25.181674,54.972308,0.67,NA,5.2,"K2 III",NA
"515",515,"HD 24040","b","Radial Velocity",1,3668,4.92,0.04,NA,0,0,1,"03h50m22.97s",57.595699,"+17d28m34.9s",17.476366,46.51,5853,1.18,NA,"14/5/14","HD 24040 b",47.4,NA,NA,"Msini",4.01,1274.44,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2012A%26A...545A..55B target=ref> Boisse et al. 2012 </a>",2006,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...657..533W target=ref> Wright et al. 2007 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",3.83971329,172.292023,-27.780571,59.225014,-2.568006,21.5,-9.9,4,"G0 V",NA
"516",516,"HD 24064","b","Radial Velocity",1,535.6,1.29,0.35,NA,0,0,0,"03h56m36.30s",59.151241,"+74d04m48.1s",74.080032,264.4,4052.5,1,38,"15/10/15","HD 24064 b",251,NA,NA,"Msini",9.4,2987.602,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>","Ground","Bohyunsan Optical Astronomical Observatory","1.8 m Telescope","BOES Echelle Spectrograph",3.94341609,134.815015,15.653201,76.776779,52.056819,3.72,NA,5,"K0",9
"517",517,"HD 25171","b","Radial Velocity",1,1845,3.02,0.08,NA,0,0,0,"03h55m49.44s",58.956001,"-65d11m12.0s",-65.186676,56.05,6160,1.09,1.18,"14/5/14","HD 25171 b",NA,NA,NA,"Msini",0.95,301.926,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011A%26A...527A..63M target=ref> Moutou et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011A%26A...527A..63M target=ref> Moutou et al. 2011 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",3.93040009,278.805606,-42.290052,351.804607,-77.370151,17.84,43.6,3.8,"F8 V",4
"518",518,"HD 2638","b","Radial Velocity",1,3.4442,0.044,0,NA,0,0,0,"00h29m59.87s",7.499466,"-05d45m50.4s",-5.764002,53.71,5192,0.93,NA,"14/11/19","HD 2638 b",67.4,NA,NA,"Msini",0.48,152.55,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...439..367M target=ref> Moutou et al. 2005 </a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...439..367M target=ref> Moutou et al. 2005 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",0.49996443,108.544445,-68.03484,4.589944,-8.267681,18.62,9.63,4.5,"G5",3
"519",519,"HD 27442","b","Radial Velocity",1,428.1,1.271,0.06,NA,0,0,0,"04h16m29.03s",64.120956,"-59d18m07.8s",-59.302155,18.24,4846,1.23,NA,"14/7/23","HD 27442 b",32.2,NA,NA,"Msini",1.56,495.8,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>",2000,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001ApJ...555..410B target=ref> Butler et al. 2001 </a>","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",4.27473043,270.204259,-42.563141,19.607366,-76.317589,54.84,29.2,5.15,"K1/2 III",NA
"520",520,"HD 27631","b","Radial Velocity",1,2208,3.25,0.12,NA,0,0,0,"04h19m45.47s",64.939461,"-41d57m37.0s",-41.960266,44.54,5737,0.94,1,"14/5/14","HD 27631 b",23.7,NA,NA,"Msini",1.45,460.83,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>",2012,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",4.32929738,246.323831,-45.364829,48.182352,-61.810179,22.45,21.11,4.3,"G3 IV-V",4.4
"521",521,"HD 27894","b","Radial Velocity",1,17.9904,0.125,0.0486,NA,0,0,0,"04h20m47.05s",65.19603,"-59d24m39.0s",-59.410835,42.37,4875,0.8,NA,"15/4/16","HD 27894 b",58.13,NA,NA,"Msini",0.645,205,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.103K target=ref>K&uuml;rster et al. 2015</a>",2005,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...439..367M target=ref> Moutou et al. 2005 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.34640198,270.101716,-42.009689,20.870297,-76.792845,23.6,82.9,5.2,"K2 V",3.9
"522",522,"HD 28185","b","Radial Velocity",1,385.9,1.032,0.092,NA,0,0,0,"04h26m26.32s",66.609673,"-10d33m03.0s",-10.550821,39.6,5546,0.98,NA,"14/5/14","HD 28185 b",158.8,NA,NA,"Msini",5.59,1776.59,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJS..182...97W target=ref> Wittenmyer et al. 2009 </a>",2001,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2001A&A...379..999S target=ref> Santos et al. 2001 </a>","Ground","La Silla Observatory","1.2 m Leonhard Euler Telescope","CORALIE Spectrograph",4.44064484,205.593395,-36.930958,62.664634,-31.797171,NA,49.6,4.5,"G5",NA
"523",523,"HD 28254","b","Radial Velocity",1,1116,2.15,0.81,NA,0,0,0,"04h24m50.71s",66.211273,"-50d37m19.9s",-50.622192,54.7,5664,1.06,1.48,"14/11/19","HD 28254 b",37.3,NA,NA,"Msini",1.16,368.67,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...523A..15N target=ref> Naef et al. 2010 </a>",2010,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...523A..15N target=ref> Naef et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.41408488,258.281637,-43.590241,41.341856,-70.071045,18.29,-9.31,4.1,"G1 IV/V",NA
"524",524,"HD 285507","b","Radial Velocity",1,6.0881,NA,0.086,NA,0,0,0,"04h07m01.22s",61.755104,"+15d20m06.1s",15.335032,42.43,4503,0.73,0.66,"14/5/14","HD 285507 b",125.8,NA,NA,"Msini",0.917,291.438,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...27Q target=ref> Quinn et al. 2014 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2014ApJ...787...27Q target=ref> Quinn et al. 2014 </a>","Ground","Fred Lawrence Whipple Observatory","1.5 m Tillinghast Reflector Telescope","TRES Echelle Spectrograph",4.11700694,177.112663,-26.339138,62.711026,-5.468526,23.57,38.15,5.45,"K4.5 V",0.625
"525",525,"HD 285968","b","Radial Velocity",1,8.7836,0.066,0,NA,0,0,0,"04h42m55.78s",70.732407,"+18d57m29.4s",18.958172,9.42,3679,0.45,0.45,"14/11/19","HD 285968 b",4.12,450,NA,"Msini",0.026,8.4,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...493..645F target=ref> Forveille et al. 2009 </a>",2008,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...493..645F target=ref> Forveille et al. 2009 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.71549377,180.015407,-17.426435,71.784595,-3.271002,106.16,26.41,6.2,"M2 V",NA
"526",526,"HD 28678","b","Radial Velocity",1,387.1,1.25,0.168,NA,0,0,0,"04h31m25.45s",67.856056,"+04d34m31.0s",4.575287,168.92,5076,1.74,6.2,"14/5/14","HD 28678 b",33.5,NA,NA,"Msini",1.7,540.3,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",4.52373708,190.821451,-28.197912,66.851445,-17.10216,5.92,NA,4.8,"G8 IV",1.8
"527",527,"HD 290327","b","Radial Velocity",1,2443,3.43,0.08,NA,0,0,0,"05h23m21.56s",80.839851,"-02d16m39.4s",-2.277619,56.7,5552,0.9,1,"14/11/19","HD 290327 b",41.3,NA,NA,"Msini",2.54,807.25,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...523A..15N target=ref> Naef et al. 2010 </a>",2009,"<a href=http://adsabs.harvard.edu/abs/2010A%26A...523A..15N target=ref> Naef et al. 2010 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",5.38932343,204.612647,-20.581228,79.858298,-25.394997,17.65,29.56,4.8,"G8 V",NA
"528",528,"HD 2952","b","Radial Velocity",1,311.6,1.2,0.129,NA,0,0,0,"00h33m10.39s",8.293311,"+54d53m41.9s",54.894985,115.21,4844,2.54,12.02,"14/5/14","HD 2952 b",26.3,NA,NA,"Msini",1.6,508.5,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>",2013,"<a href=http://adsabs.harvard.edu/abs/2013PASJ...65...85S target=ref> Sato et al. 2013 </a>","Ground","Okayama Astrophysical Observatory","1.88 m Telescope","HIDES Echelle Spectrograph",0.55288741,120.282839,-7.882712,35.206458,45.856365,8.68,NA,5,"K0 III",NA
"529",529,"HD 30177","b","Radial Velocity",2,2524.4,3.58,0.184,NA,0,0,0,"04h41m54.37s",70.476555,"-58d01m14.7s",-58.020756,54.71,5580,0.99,NA,"16/12/21","HD 30177 b",126.3,NA,NA,"Msini",8.08,2568.0664,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161202072W target=ref>Wittenmyer et al. 2016</a>",2002,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...587..423T target=ref> Tinney et al. 2003 </a>","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",4.69843699,267.369772,-39.734031,34.261443,-77.634174,18.28,63.1,4.8,"G8 V",11.6
"530",530,"HD 30177","c","Radial Velocity",2,11613,9.89,0.22,NA,0,0,0,"04h41m54.37s",70.476555,"-58d01m14.7s",-58.020756,54.71,5580,0.99,NA,"16/12/21","HD 30177 c",70.8,NA,NA,"Msini",7.6,2415.508,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161202072W target=ref>Wittenmyer et al. 2016</a>",2016,"<a href=http://adsabs.harvard.edu/abs/2016arXiv161202072W target=ref>Wittenmyer et al. 2016</a>","Ground","Multiple Observatories","Multiple Telescopes","Multiple Instruments",4.69843699,267.369772,-39.734031,34.261443,-77.634174,18.28,63.1,4.8,"G8 V",11.6
"531",531,"HD 30562","b","Radial Velocity",1,1159.2,2.315,0.778,NA,0,0,0,"04h48m36.38s",72.151604,"-05d40m26.6s",-5.674045,26.5,5994,1.23,1.53,"14/5/14","HD 30562 b",36.8,NA,NA,"Msini",1.373,436.362,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...703.1545F target=ref> Fischer et al. 2009 </a>","Ground","Lick Observatory","3.0 m C. Donald Shane Telescope","Hamilton Echelle Spectrograph",4.81010691,203.396346,-29.824001,69.816968,-27.871351,37.73,77.24,3.8,"F8 V",3.6
"532",532,"HD 30669","b","Radial Velocity",1,1684,2.69,0.18,NA,0,0,0,"04h48m28.49s",72.11869,"-28d25m09.5s",-28.419298,57.1,5400,0.92,0.91,"15/1/8","HD 30669 b",8.6,NA,NA,"Msini",0.47,149.37,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>",2014,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",4.8079127,229.059388,-38.105347,64.981643,-50.317057,17.51,65.8,4.9,"G9 V",4.8
"533",533,"HD 30856","b","Radial Velocity",1,912,1.8,0.117,NA,0,0,0,"04h50m17.86s",72.574425,"-24d22m07.8s",-24.368839,121.07,4982,1.35,4.2,"14/5/14","HD 30856 b",31.9,NA,NA,"Msini",1.8,572.1,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>",2011,"<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...26J target=ref> Johnson et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",4.83829498,224.272147,-36.653814,66.695299,-46.408239,8.26,NA,5,"K0 III",3.8
"534",534,"HD 31253","b","Radial Velocity",1,466,1.26,0.3,NA,0,0,0,"04h54m43.65s",73.681892,"+12d21m07.9s",12.352201,53.82,5960,1.23,1.71,"14/5/14","HD 31253 b",NA,NA,NA,"Msini",0.5,158.908,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...727..117M target=ref> Meschiari et al. 2011 </a>",2010,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2011ApJ...727..117M target=ref> Meschiari et al. 2011 </a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",4.91212616,187.392137,-19.044108,73.808356,-10.174573,18.58,12.1,3.8,"F8",3
"537",537,"HD 32518","b","Radial Velocity",1,157.54,0.59,0.01,NA,0,0,0,"05h09m36.72s",77.403,"+69d38m21.9s",69.639404,117.37,4580,1.13,10.22,"14/5/14","HD 32518 b",115.83,NA,NA,"Msini",3.04,966.16,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>",2009,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>","Ground","Thueringer Landessternwarte Tautenburg","2.0 m Alfred Jensch Telescope","Coude Echelle Spectrograph",5.16019999,142.122763,17.121583,83.673917,46.476591,8.52,NA,5.1,"K1 III",5.83
"538",538,"HD 32963","b","Radial Velocity",1,2372,3.41,0.07,NA,0,0,0,"05h07m55.76s",76.982353,"+26d19m40.7s",26.327963,35.24,5727,0.94,NA,"16/1/5","HD 32963 b",11.1,NA,NA,"Msini",0.7,222.481,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151200417R target=ref>Rowan et al. 2015</a>",2015,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151200417R target=ref>Rowan et al. 2015</a>","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",5.13215688,177.531765,-8.389567,78.331736,3.414424,28.38,-62.9,4.5,"G5",4.99
"539",539,"HD 330075","b","Radial Velocity",1,3.38773,0.039,0,NA,0,0,0,"15h49m37.69s",237.407043,"-49d57m48.7s",-49.963524,50.2,5017,0.7,NA,"14/11/19","HD 330075 b",107,990,NA,"Msini",0.62,197.05,NA,NA,NA,NA,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...423..385P target=ref> Pepe et al. 2004 </a>",2004,"<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...423..385P target=ref> Pepe et al. 2004 </a>","Ground","La Silla Observatory","3.6 m ESO Telescope","HARPS Spectrograph",15.82713623,329.806725,3.376207,246.627636,-29.135236,19.92,61.28,5.1,"K1",6.2
