"","rowid","pl_radj","pl_bmassj","pl_rade","pl_bmasse","pl_dens","pl_orbsmax","pl_eqt","st_age","pl_discmethod","cluster","density","mass_gr","radius_cm","volume_cm3"
"145",759,0.138,0.03776,1.55,12,17.5,0.0506,1184,NA,"Transit",2,17.8185950545509,71675654400000009172240008280,986589600,4022519967515273879240448808
"146",760,0.216,0.03115,2.42,9.9,3.6,0.0964,858,NA,"Transit",2,3.83332400943006,59128618500000005058628880002,1544227200,15424894518319432693860666628
"147",761,0.732,0.15826,8.2,50.3,0.5,0.062,NA,3.09,"Transit",3,0.50039924984145,300407549400000044842208622848,5233214400,600335730909235880606660204804
"148",809,0.205,1.9,2.3,603.877,NA,NA,NA,0.85,"Transit",4,273.508450753206,3606561000000000159884040628424,1465586000,13186287261208982264028608626
"149",832,0.31,0.03458,3.47,10.99,NA,0.0653,NA,0.8,"Transit",2,1.43952310263747,65639410200000000158282866484,2216252000,45598024845684398336042448084
"150",833,1.29,0.97,14.46,308.2951,NA,0.159,NA,2.4,"Transit",3,0.560378333194038,1841244299999999951202686808808,9222468000,3285716436439105279046080066246
"151",834,1.11,27.23,12.442,8654.15,24.7,0.02466,NA,NA,"Transit",1,24.6920664317324,51687713699999999038208444800648,7935612000,2093292347276970325860244088626
"152",835,1.399,0.679,15.681,215.80657,0.308,0.0525,1377,4.5,"Transit",3,0.307535575961718,1288871010000000219206020806848,10001730800,4190965568680866313260202666644
"153",836,1.743,1.284,19.537,408.09372,0.322,0.03005,1970,5.11,"Transit",3,0.300712578204897,2437275960000000126404648206228,12461055600,8105001708107173448824642828080
"154",837,1.443,0.91,16.175,289.2253,0.36,0.04613,1642,NA,"Transit",3,0.375596149004919,1727352900000000055848042806224,10316295600,4598963286967502033282646286828
"155",838,1.525,1.31,17.094,416.3573,0.46,0.04881,2087,0.65,"Transit",3,0.458079119982244,2486628900000000015460064284448,10902530000,5428382983481950716486260880200
"156",839,1.286,1.522,14.415,483.717,NA,0.05496,NA,NA,"Transit",3,0.887504325557812,2889045180000000171204804884606,9193871200,3255246309007210770442266462660
"157",840,1.345,1.477,15.076,469.415,0.75,0.04122,1816,3,"Transit",3,0.752822124612062,2803626630000000320000460684482,9615674000,3724155465601838485248260846800
"158",841,1.699,0.902,19.044,286.68266,0.228,0.04317,1823,4.44,"Transit",3,0.228089415706036,1712167380000000219944884844266,12146490800,7506562172997350676048446422600
"159",842,1.18,0.442,13.227,141,NA,0.08,NA,4.9,"Transit",3,0.333622228638877,838999980000000083462868446802,8436056000,2514820380593284035624044400022
"160",844,1.533,1.28,17.183,406.8224,0.442,0.04415,2048,1.3,"Transit",3,0.440618002008961,2429683200000000208424480824684,10959723600,5514262215620024973800462868220
"161",845,1.86,0.867,20.849,275.55861,0.167,0.04571,1675,5.4,"Transit",3,0.167093284759265,1645730730000000022884264480444,13297512000,9849173366667830744084284042864
"162",857,1.43,10,16.029,3178.3,NA,0.151,NA,1.5,"Transit",5,4.24102291807157,18981900000000000960002440426482,10223356000,4475783405724018276488022262402
"163",858,1.512,9.28,16.948,2949.4624,3.6,0.03641,2550,NA,"Transit",5,3.32944108564418,17615203199999998837886066440802,10809590400,5290738819783565642462220660682
"164",859,0.337,0.027,3.78,8.7,0.87,NA,NA,2.2,"Transit",2,0.874888671878408,51251130000000000446402280806,2409280400,58580173280747268356228242026
"165",869,0.068,0.0014,0.759,0.44,NA,0.006,NA,NA,"Orbital Brightness Modulation",2,5.52179182330661,2657465999999999986080608224,486145600,481268777425337931564208802
"166",870,0.077,0.0021,0.867,0.655,NA,0.0076,NA,NA,"Orbital Brightness Modulation",2,5.70460858224688,3986198999999999704024868662,550488400,698768187602793917804448282
"167",871,0.153,0.033,1.71,10.5,10.1,0.05119,1486,3.16,"Transit",2,11.4266356367074,62640270000000000536686206284,1093827600,5481952167860486930462000226
"168",872,0.385,0.049,4.32,15.6,0.91,0.1013,1012,3.16,"Transit",2,1.06486026868609,93011309999999997864448408606,2752442000,87346023450349237392864882806
"169",873,1.005,0.334,11.27,106,0.363,0.1684,806,3.16,"Transit",3,0.408062807567854,633995460000000046484444224686,7184946000,1553671268839118283048848020086
